Komoditas,Luas Panen Padi,GKP Tingkat Petani,GKP Tingkat Penggilingan,GKG Tingkat Penggilingan,Ratarata Beras Penggilingan,Stok GKG Tingkat Penggilingan,Stok Beras Tingkat Penggilingan,Beras,UMP,BBM Solar,quantity
2024-02-20,10,7140,7600,9200,15480,150,60,15700,2057495,6800,113151
2024-02-21,10,7310,7800,9290,15465,140,50,15700,2057495,6800,113151
2024-02-22,10,7110,7720,9260,15465,80,70,15750,2057495,6800,113151
2024-02-23,10,7130,7640,9250,15395,120,60,15800,2057495,6800,113151
2024-02-26,10,7120,7590,9210,15400,70,70,15850,2057495,6800,113151
2024-02-27,10,7130,7610,9130,15365,80,80,15850,2057495,6800,113151
2024-02-28,20,7110,7680,9020,15430,120,240,15850,2057495,6800,113151
2024-02-29,10,7200,7700,9130,15350,90,40,15850,2057495,6800,113151
2024-03-01,10,7200,7530,9010,15405,90,60,15850,2057495,6800,113151
2024-03-04,0,7290,7560,8960,15355,90,50,15800,2057495,6800,113151
2024-03-05,10,7220,7560,8820,15285,120,80,15800,2057495,6800,113151
2024-03-06,10,7030,7430,8650,15150,80,100,15800,2057495,6800,113151
2024-03-07,10,6940,7330,8500,14960,80,110,15800,2057495,6800,113151
2024-03-08,10,6930,7300,8490,14985,150,90,15800,2057495,6800,113151
2024-03-11,10,6760,7140,8330,14910,120,80,15800,2057495,6800,113151
2024-03-12,10,6530,6930,8260,14810,120,80,15800,2057495,6800,113151
2024-03-13,10,6480,6920,8240,14750,100,60,15750,2057495,6800,113151
2024-03-14,10,6510,7060,8240,14780,150,70,15750,2057495,6800,113151
2024-03-15,10,6480,6930,8190,14795,150,80,15750,2057495,6800,113151
